ÀÏ½Ã	ÁöÁ¡	Æø¿°¿©ºÎ(O/X)	ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC)	ÃÖ°í±â¿Â(¡ÆC)	Æò±Õ±â¿Â(¡ÆC)	ÃÖÀú±â¿Â(¡ÆC)	Æò±Õ»ó´ë½Àµµ(%)	Æø¿°Æ¯º¸(O/X)	Æø¿°¿µÇâ¿¹º¸(´Ü°è)	¿­´ë¾ß(O/X)	ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
2024-05-01	ºÏ°­¸ª(104)	X	17.2	16.8	12.4	8.2	69.5	X	 	X	³·À½
2024-05-01	µ¿ÇØ(106)	X	18.2	18	12.9	7.7	69.6	X	 	X	³·À½
2024-05-01	¼­¿ï(108)	X	21.8	24	18.5	13.9	46	X	 	X	³·À½
2024-05-01	ÀÎÃµ(112)	X	20.6	21.4	16.7	12.9	58.5	X	 	X	³·À½
2024-05-01	¿øÁÖ(114)	X	20.7	23.2	18.1	14.2	37	X	 	X	³·À½
2024-05-01	¿ï¸ªµµ(115)	X		14.6	11.9	9.1	63.9	X	 	X	³·À½
2024-05-01	¼ö¿ø(119)	X	20.7	22.5	16.7	11.8	54.1	X	 	X	³·À½
2024-05-01	¿µ¿ù(121)	X	21.2	23.9	16.3	9.6	41.5	X	 	X	³·À½
2024-05-01	ÃæÁÖ(127)	X	21.1	22.7	16.5	11.1	48.9	X	 	X	³·À½
2024-05-01	¼­»ê(129)	X	20.6	22.3	15.4	9.6	64.1	X	 	X	³·À½
2024-05-01	¿ïÁø(130)	X	17.5	16.8	12.8	8.3	70.3	X	 	X	³·À½
2024-05-01	Ã»ÁÖ(131)	X	20.8	22.4	17.6	13.6	44.5	X	 	X	³·À½
2024-05-01	´ëÀü(133)	X	20.3	21.6	16.5	11.8	50.8	X	 	X	³·À½
2024-05-01	ÃßÇ³·É(135)	X	18.2	18.4	12.1	7.5	69.9	X	 	X	³·À½
2024-05-01	¾Èµ¿(136)	X	19.3	20.5	14.2	9.4	54.9	X	 	X	³·À½
2024-05-01	»óÁÖ(137)	X	20.3	20.8	13.7	8.6	67	X	 	X	³·À½
2024-05-01	Æ÷Ç×(138)	X	17.1	16.1	13.9	11.5	66.9	X	 	X	³·À½
2024-05-01	±º»ê(140)	X	21.2	20.9	14.9	9.7	75.6	X	 	X	³·À½
2024-05-01	´ë±¸(143)	X	17.5	18.1	13	9.5	68.8	X	 	X	³·À½
2024-05-01	ÀüÁÖ(146)	X	22	21.7	16	11.6	77.6	X	 	X	³·À½
2024-05-01	¿ï»ê(152)	X	16.1	16.1	12.7	9.5	67	X	 	X	³·À½
2024-05-01	Ã¢¿ø(155)	X	18.7	19.2	14.8	11.8	65.8	X	 	X	³·À½
2024-05-01	±¤ÁÖ(156)	X	20.5	17.6	14.8	12.7	98.8	X	 	X	³·À½
2024-05-01	ºÎ»ê(159)	X	17.6	17.5	14.1	11.4	64.3	X	 	X	³·À½
2024-05-01	Åë¿µ(162)	X	18.3	18.3	14.9	12.1	64.6	X	 	X	³·À½
2024-05-01	¸ñÆ÷(165)	X	18.3	16.1	13.9	11.5	89.8	X	 	X	³·À½
2024-05-01	¿©¼ö(168)	X	18.1	15.7	14	11.9	80.8	X	 	X	³·À½
2024-05-01	Èæ»êµµ(169)	X	19.3	18.2	13.7	11.3	83	X	 	X	³·À½
